Rk,G,1997 Playoffs,Series,Tm,,Opp,G#,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
62,12,2001-06-06,FIN,LAL,,PHI,1,L (-6),1,52:00:00,7,22,0.318,0,0,,1,1,1,0,3,3,5,1,3,6,4,15,2.3,-6
63,13,2001-06-08,FIN,LAL,,PHI,2,W (+9),1,47:00:00,11,23,0.478,1,2,0.5,8,8,1,1,7,8,6,2,2,2,4,31,26.1,11
64,14,2001-06-10,FIN,LAL,@,PHI,3,W (+5),1,48:00:00,13,30,0.433,0,2,0,6,6,1,0,6,6,3,2,0,3,2,32,18.3,5
65,15,2001-06-13,FIN,LAL,@,PHI,4,W (+14),1,43:00:00,6,13,0.462,0,2,0,7,12,0.583,2,8,10,9,1,1,4,2,19,17.3,7
66,16,2001-06-15,FIN,LAL,@,PHI,5,W (+12),1,44:00:00,7,18,0.389,2,3,0.667,10,11,0.909,2,10,12,6,1,1,3,3,26,21.9,14
67,1,2002-04-21,WC1,LAL,,POR,1,W (+8),1,44:00:00,10,28,0.357,2,7,0.286,12,13,0.923,3,4,7,3,2,3,1,3,34,25.3,-4
68,2,2002-04-25,WC1,LAL,,POR,2,W (+7),1,43:00:00,5,21,0.238,1,4,0.25,8,9,0.889,1,5,6,5,2,0,3,5,19,8.6,15
69,3,2002-04-28,WC1,LAL,@,POR,3,W (+1),1,45:00:00,9,19,0.474,3,4,0.75,4,7,0.571,0,4,4,7,2,2,4,5,25,17.6,-3
70,4,2002-05-05,WCS,LAL,,SAS,1,W (+6),1,38:00:00,8,18,0.444,0,3,0,4,10,0.4,0,2,2,4,0,0,3,4,20,7,1
71,5,2002-05-07,WCS,LAL,,SAS,2,L (-3),1,43:00:00,12,25,0.48,0,2,0,2,2,1,1,3,4,6,3,0,4,4,26,16.5,5
72,6,2002-05-10,WCS,LAL,@,SAS,3,W (+10),1,48:00:00,15,31,0.484,0,2,0,1,3,0.333,2,4,6,6,0,1,1,1,31,20.6,10
73,7,2002-05-12,WCS,LAL,@,SAS,4,W (+2),1,44:00:00,10,27,0.37,3,5,0.6,5,9,0.556,3,4,7,3,1,0,2,3,28,14.7,7
74,8,2002-05-14,WCS,LAL,,SAS,5,W (+6),1,46:00:00,10,20,0.5,0,1,0,6,7,0.857,3,5,8,5,1,0,0,1,26,23.3,2
75,9,2002-05-18,WCF,LAL,@,SAC,1,W (+7),1,44:00:00,12,26,0.462,0,2,0,6,7,0.857,1,5,6,5,2,2,5,1,30,19.9,7
76,10,2002-05-20,WCF,LAL,@,SAC,2,L (-6),1,40:00:00,9,21,0.429,1,2,0.5,3,5,0.6,1,5,6,2,1,1,4,3,22,10.2,-3
77,11,2002-05-24,WCF,LAL,,SAC,3,L (-13),1,40:00:00,8,24,0.333,4,9,0.444,2,2,1,1,1,2,3,2,2,2,6,22,10.5,-18
78,12,2002-05-26,WCF,LAL,,SAC,4,W (+1),1,42:00:00,12,26,0.462,0,1,0,1,3,0.333,2,2,4,2,2,3,4,5,25,12.3,7
79,13,2002-05-28,WCF,LAL,@,SAC,5,L (-1),1,45:00:00,11,29,0.379,0,2,0,8,11,0.727,2,3,5,3,1,0,5,5,30,11.3,-5
80,14,2002-05-31,WCF,LAL,,SAC,6,W (+4),1,44:00:00,10,20,0.5,0,0,,11,11,1,2,9,11,5,0,0,1,3,31,26.4,3
81,15,2002-06-02,WCF,LAL,@,SAC,7,W (+6),1,52:00:00,10,26,0.385,2,3,0.667,8,10,0.8,3,7,10,7,2,0,0,5,30,24.1,8
82,16,2002-06-05,FIN,LAL,,NJN,1,W (+5),1,43:00:00,6,16,0.375,0,2,0,10,11,0.909,1,2,3,6,1,0,4,2,22,14.5,7
83,17,2002-06-07,FIN,LAL,,NJN,2,W (+23),1,42:00:00,9,15,0.6,3,3,1,3,4,0.75,1,7,8,3,2,1,4,2,24,19.5,20
84,18,2002-06-09,FIN,LAL,@,NJN,3,W (+3),1,46:00:00,14,23,0.609,1,3,0.333,7,10,0.7,1,5,6,4,1,2,6,3,36,24.5,1
85,19,2002-06-12,FIN,LAL,@,NJN,4,W (+6),1,44:00:00,7,16,0.438,2,3,0.667,9,11,0.818,0,6,6,8,2,0,1,4,25,22.6,6
86,1,2003-04-20,WC1,LAL,@,MIN,1,W (+19),1,45:00:00,16,30,0.533,1,3,0.333,6,6,1,1,4,5,8,1,0,1,3,39,30.7,18
87,2,2003-04-22,WC1,LAL,@,MIN,2,L (-28),1,46:00:00,9,28,0.321,2,6,0.333,7,9,0.778,0,4,4,8,1,0,3,4,27,13.4,-26
88,3,2003-04-24,WC1,LAL,,MIN,3,L (-4),1,50:00:00,10,28,0.357,1,5,0.2,9,10,0.9,3,4,7,6,1,0,6,1,30,16.1,-3
89,4,2003-04-27,WC1,LAL,,MIN,4,W (+5),1,47:00:00,7,25,0.28,2,3,0.667,16,17,0.941,1,4,5,5,3,0,1,2,32,23.5,5
90,5,2003-04-29,WC1,LAL,@,MIN,5,W (+30),1,40:00:00,12,21,0.571,2,4,0.5,6,8,0.75,3,5,8,5,1,0,2,0,32,27.4,29
91,6,2003-05-01,WC1,LAL,,MIN,6,W (+16),1,42:00:00,14,26,0.538,2,7,0.286,1,2,0.5,1,1,2,8,1,0,2,4,31,22,19
92,7,2003-05-05,WCS,LAL,@,SAS,1,L (-5),1,45:00:00,16,38,0.421,3,4,0.75,2,2,1,1,3,4,2,0,0,5,3,37,13.6,1
93,8,2003-05-07,WCS,LAL,@,SAS,2,L (-19),1,41:00:00,9,24,0.375,2,6,0.333,7,10,0.7,0,6,6,1,0,0,5,4,27,8.5,-22
94,9,2003-05-09,WCS,LAL,,SAS,3,W (+15),1,43:00:00,10,23,0.435,2,4,0.5,17,19,0.895,2,2,4,4,1,0,4,2,39,27.1,23
95,10,2003-05-11,WCS,LAL,,SAS,4,W (+4),1,40:00:00,10,24,0.417,1,4,0.25,14,17,0.824,2,5,7,3,2,1,2,5,35,24.7,-2
96,11,2003-05-13,WCS,LAL,@,SAS,5,L (-2),1,48:00:00,15,31,0.484,5,11,0.455,1,2,0.5,2,5,7,6,2,0,4,3,36,23.8,-2
97,12,2003-05-15,WCS,LAL,,SAS,6,L (-28),1,43:00:00,9,19,0.474,2,5,0.4,0,2,0,0,2,2,6,1,0,7,4,20,6.7,-20
98,1,2004-04-17,WC1,LAL,,HOU,1,W (+1),1,43:00:00,4,19,0.211,1,4,0.25,7,8,0.875,1,4,5,6,5,0,0,2,16,14.2,2
99,2,2004-04-19,WC1,LAL,,HOU,2,W (+14),1,45:00:00,9,20,0.45,2,6,0.333,16,17,0.941,0,4,4,4,1,0,1,3,36,28,17
100,3,2004-04-23,WC1,LAL,@,HOU,3,L (-11),1,43:00:00,7,20,0.35,0,3,0,7,8,0.875,3,4,7,6,3,1,1,4,21,18,-12
101,4,2004-04-25,WC1,LAL,@,HOU,4,W (+4),1,50:00:00,7,21,0.333,0,2,0,4,5,0.8,2,4,6,5,2,0,3,4,18,9.2,-1
102,5,2004-04-28,WC1,LAL,,HOU,5,W (+19),1,41:00:00,12,21,0.571,1,4,0.25,6,6,1,1,5,6,10,3,0,1,3,31,31.1,23
103,6,2004-05-02,WCS,LAL,@,SAS,1,L (-10),1,45:00:00,10,26,0.385,2,6,0.333,9,10,0.9,2,8,10,4,2,0,4,1,31,20.6,-7
104,7,2004-05-05,WCS,LAL,@,SAS,2,L (-10),1,42:00:00,7,17,0.412,0,1,0,1,2,0.5,2,3,5,8,1,0,2,4,15,10.8,-8
105,8,2004-05-09,WCS,LAL,,SAS,3,W (+24),1,42:00:00,7,13,0.538,4,7,0.571,4,8,0.5,0,6,6,6,2,0,5,3,22,15.9,31
106,9,2004-05-11,WCS,LAL,,SAS,4,W (+8),1,45:00:00,15,27,0.556,2,4,0.5,10,13,0.769,0,6,6,5,3,1,0,2,42,36.1,10
107,10,2004-05-13,WCS,LAL,@,SAS,5,W (+1),1,47:00:00,11,27,0.407,0,4,0,0,0,,0,4,4,5,1,0,5,1,22,7.8,0
108,11,2004-05-15,WCS,LAL,,SAS,6,W (+12),1,44:00:00,10,20,0.5,0,3,0,6,8,0.75,0,7,7,7,1,0,4,2,26,18.4,11
109,12,2004-05-21,WCF,LAL,@,MIN,1,W (+9),1,45:00:00,9,20,0.45,0,1,0,5,8,0.625,0,3,3,6,3,0,3,2,23,15.7,8
110,13,2004-05-23,WCF,LAL,@,MIN,2,L (-18),1,41:00:00,10,24,0.417,0,4,0,7,10,0.7,2,3,5,6,2,0,2,1,27,19.1,-16
111,14,2004-05-25,WCF,LAL,,MIN,3,W (+11),1,45:00:00,5,12,0.417,2,6,0.333,10,11,0.909,0,2,2,6,0,0,4,3,22,14.8,11
112,15,2004-05-27,WCF,LAL,,MIN,4,W (+7),1,41:00:00,10,24,0.417,2,8,0.25,9,10,0.9,2,6,8,4,1,1,4,3,31,20.3,4
113,16,2004-05-29,WCF,LAL,@,MIN,5,L (-2),1,44:00:00,8,19,0.421,3,8,0.375,4,6,0.667,1,5,6,7,1,0,4,3,23,15,-1
114,17,2004-05-31,WCF,LAL,,MIN,6,W (+6),1,39:00:00,6,17,0.353,1,3,0.333,7,11,0.636,0,0,0,4,2,1,0,3,20,13.2,10
115,18,2004-06-06,FIN,LAL,,DET,1,L (-12),1,47:00:00,10,27,0.37,1,6,0.167,4,4,1,1,3,4,4,4,2,3,2,25,16.1,-12
116,19,2004-06-08,FIN,LAL,,DET,2,W (+8),1,49:00:00,14,27,0.519,1,5,0.2,4,5,0.8,0,4,4,7,2,0,5,5,33,20.4,7
117,20,2004-06-10,FIN,LAL,@,DET,3,L (-20),1,45:00:00,4,13,0.308,0,4,0,3,3,1,0,3,3,5,1,1,4,3,11,4.4,-20
118,21,2004-06-13,FIN,LAL,@,DET,4,L (-8),1,45:00:00,8,25,0.32,2,6,0.333,2,2,1,0,0,0,2,1,0,3,3,20,3.9,-8
119,22,2004-06-15,FIN,LAL,@,DET,5,L (-13),1,45:00:00,7,21,0.333,0,2,0,10,11,0.909,1,2,3,4,1,0,3,2,24,13,-19
120,1,2006-04-23,WC1,LAL,@,PHO,1,L (-5),1,46:51:00,7,21,0.333,1,6,0.167,7,8,0.875,1,5,6,5,0,1,3,3,22,11.9,-7
121,2,2006-04-26,WC1,LAL,@,PHO,2,W (+6),1,44:58:00,12,24,0.5,1,1,1,4,6,0.667,0,10,10,5,1,0,4,4,29,18.1,2
122,3,2006-04-28,WC1,LAL,,PHO,3,W (+7),1,45:40:00,6,18,0.333,0,3,0,5,6,0.833,1,4,5,7,4,0,4,2,17,12.4,11
123,4,2006-04-30,WC1,LAL,,PHO,4,W (+1),1,38:30:00,9,14,0.643,0,1,0,6,8,0.75,1,3,4,8,0,0,7,5,24,15.2,-1
124,5,2006-05-02,WC1,LAL,@,PHO,5,L (-17),1,43:03:00,10,17,0.588,3,8,0.375,6,9,0.667,0,7,7,5,0,1,5,3,29,20,-19
