Rk,G,1997 Playoffs,Series,Tm,,Opp,G#,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
156,4,2009-04-25,WC1,LAL,@,UTA,4,W (+14),1,39:37:00,16,24,0.667,1,2,0.5,5,5,1,0,6,6,1,2,0,3,2,38,28.3,4
157,5,2009-04-27,WC1,LAL,,UTA,5,W (+11),1,42:30:00,10,21,0.476,3,4,0.75,8,9,0.889,0,2,2,4,4,1,5,2,31,22.2,18
158,6,2009-05-04,WCS,LAL,,HOU,1,L (-8),1,43:57:00,14,31,0.452,1,7,0.143,3,5,0.6,0,8,8,4,2,0,2,3,32,19.1,-6
159,7,2009-05-06,WCS,LAL,,HOU,2,W (+13),1,40:09:00,16,27,0.593,2,3,0.667,6,7,0.857,2,4,6,3,1,0,2,1,40,30.4,19
160,8,2009-05-08,WCS,LAL,@,HOU,3,W (+14),1,44:15:00,11,28,0.393,4,6,0.667,7,8,0.875,2,4,6,3,2,3,0,2,33,25.4,17
161,9,2009-05-10,WCS,LAL,@,HOU,4,L (-12),1,34:39:00,7,17,0.412,1,4,0.25,0,0,,0,2,2,5,4,0,0,1,15,13.6,-12
162,10,2009-05-12,WCS,LAL,,HOU,5,W (+40),1,30:49:00,10,19,0.526,1,3,0.333,5,6,0.833,0,4,4,3,1,1,4,3,26,16.1,30
163,11,2009-05-14,WCS,LAL,@,HOU,6,L (-15),1,38:26:00,11,27,0.407,1,5,0.2,9,10,0.9,1,1,2,3,1,3,2,2,32,20.5,-11
164,12,2009-05-17,WCS,LAL,,HOU,7,W (+19),1,33:21:00,4,12,0.333,1,4,0.25,5,6,0.833,1,6,7,5,3,2,1,4,14,14.6,20
165,13,2009-05-19,WCF,LAL,,DEN,1,W (+2),1,43:21:00,13,28,0.464,2,3,0.667,12,13,0.923,3,3,6,4,0,1,1,3,40,29.5,-5
166,14,2009-05-21,WCF,LAL,,DEN,2,L (-3),1,39:42:00,10,20,0.5,2,4,0.5,10,10,1,2,3,5,3,1,1,2,4,32,24.5,0
167,15,2009-05-23,WCF,LAL,@,DEN,3,W (+6),1,41:13:00,12,24,0.5,2,5,0.4,15,17,0.882,1,5,6,5,2,0,1,4,41,33.3,4
168,16,2009-05-25,WCF,LAL,@,DEN,4,L (-19),1,41:12:00,10,26,0.385,2,10,0.2,12,13,0.923,1,6,7,5,1,0,1,3,34,24.2,-11
169,17,2009-05-27,WCF,LAL,,DEN,5,W (+9),1,44:54:00,6,13,0.462,1,6,0.167,9,10,0.9,1,4,5,8,1,0,7,3,22,15.2,11
170,18,2009-05-29,WCF,LAL,@,DEN,6,W (+27),1,41:34:00,12,20,0.6,2,4,0.5,9,9,1,0,6,6,10,0,1,1,1,35,33.9,31
171,19,2009-06-04,FIN,LAL,,ORL,1,W (+25),1,37:58:00,16,34,0.471,0,1,0,8,8,1,1,7,8,8,2,2,1,1,40,33,25
172,20,2009-06-07,FIN,LAL,,ORL,2,W (+5),1,48:30:00,10,22,0.455,1,4,0.25,8,10,0.8,0,4,4,8,2,0,7,2,29,17.8,2
173,21,2009-06-09,FIN,LAL,@,ORL,3,L (-4),1,40:16:00,11,25,0.44,4,9,0.444,5,10,0.5,1,2,3,8,0,0,4,5,31,16.8,-3
174,22,2009-06-11,FIN,LAL,@,ORL,4,W (+8),1,48:52:00,11,31,0.355,2,6,0.333,8,8,1,1,6,7,8,1,1,3,3,32,20.3,11
175,23,2009-06-14,FIN,LAL,@,ORL,5,W (+13),1,43:18:00,10,23,0.435,2,5,0.4,8,8,1,0,6,6,5,2,4,1,2,30,26.2,14
176,1,2010-04-18,WC1,LAL,,OKC,1,W (+8),1,41:00:00,6,19,0.316,2,5,0.4,7,12,0.583,1,1,2,3,2,1,2,5,21,9.9,9
177,2,2010-04-20,WC1,LAL,,OKC,2,W (+3),1,40:55:00,12,28,0.429,2,5,0.4,13,15,0.867,1,4,5,1,2,0,4,4,39,22.4,-2
178,3,2010-04-22,WC1,LAL,@,OKC,3,L (-5),1,41:22:00,10,29,0.345,4,11,0.364,0,0,,0,4,4,8,2,0,3,4,24,11.9,1
179,4,2010-04-24,WC1,LAL,@,OKC,4,L (-21),1,32:04:00,5,10,0.5,1,1,1,1,2,0.5,1,2,3,4,0,0,3,3,12,6.5,-14
180,5,2010-04-27,WC1,LAL,,OKC,5,W (+24),1,29:17:00,4,9,0.444,0,2,0,5,7,0.714,0,3,3,7,2,0,4,3,13,10.1,27
181,6,2010-04-30,WC1,LAL,@,OKC,6,W (+1),1,35:57:00,12,25,0.48,3,4,0.75,5,7,0.714,1,6,7,3,0,0,5,4,32,16.5,1
182,7,2010-05-02,WCS,LAL,,UTA,1,W (+5),1,36:36:00,12,19,0.632,0,2,0,7,7,1,0,3,3,4,0,0,4,3,31,21,8
183,8,2010-05-04,WCS,LAL,,UTA,2,W (+8),1,42:07:00,10,22,0.455,0,1,0,10,11,0.909,0,5,5,8,1,3,7,3,30,20.2,5
184,9,2010-05-08,WCS,LAL,@,UTA,3,W (+1),1,43:27:00,13,24,0.542,3,7,0.429,6,8,0.75,0,4,4,7,1,0,2,3,35,26.5,1
185,10,2010-05-10,WCS,LAL,@,UTA,4,W (+15),1,42:09:00,11,23,0.478,0,2,0,10,12,0.833,0,3,3,4,1,0,3,3,32,20,9
186,11,2010-05-17,WCF,LAL,,PHO,1,W (+21),1,35:28:00,13,23,0.565,3,6,0.5,11,12,0.917,0,5,5,5,1,0,2,1,40,32.3,22
187,12,2010-05-19,WCF,LAL,,PHO,2,W (+12),1,43:02:00,8,19,0.421,1,3,0.333,4,4,1,2,3,5,13,0,1,2,2,21,20.2,14
188,13,2010-05-23,WCF,LAL,@,PHO,3,L (-9),1,42:41:00,13,24,0.542,2,8,0.25,8,8,1,2,7,9,11,1,1,5,3,36,31.1,-12
189,14,2010-05-25,WCF,LAL,@,PHO,4,L (-9),1,44:42:00,15,22,0.682,6,9,0.667,2,4,0.5,1,6,7,10,1,1,2,3,38,35.8,-4
190,15,2010-05-27,WCF,LAL,,PHO,5,W (+2),1,42:37:00,12,27,0.444,4,10,0.4,2,3,0.667,3,8,11,9,0,4,2,3,30,25.9,4
191,16,2010-05-29,WCF,LAL,@,PHO,6,W (+8),1,40:58:00,12,25,0.48,3,8,0.375,10,11,0.909,2,4,6,2,2,0,2,1,37,27.5,19
192,17,2010-06-03,FIN,LAL,,BOS,1,W (+13),1,38:45:00,10,22,0.455,1,2,0.5,9,10,0.9,1,6,7,6,1,1,4,4,30,21,8
193,18,2010-06-06,FIN,LAL,,BOS,2,L (-9),1,34:18:00,8,20,0.4,2,7,0.286,3,3,1,0,5,5,6,4,0,5,5,21,12.9,-9
194,19,2010-06-08,FIN,LAL,@,BOS,3,W (+7),1,43:52:00,10,29,0.345,1,7,0.143,8,8,1,2,5,7,4,2,3,1,2,29,20.7,10
195,20,2010-06-10,FIN,LAL,@,BOS,4,L (-7),1,43:04:00,10,22,0.455,6,11,0.545,7,8,0.875,0,6,6,2,2,0,7,5,33,17.4,-8
196,21,2010-06-13,FIN,LAL,@,BOS,5,L (-6),1,43:53:00,13,27,0.481,4,10,0.4,8,9,0.889,2,3,5,4,1,1,4,5,38,24.7,-6
197,22,2010-06-15,FIN,LAL,,BOS,6,W (+22),1,39:37:00,9,19,0.474,1,4,0.25,7,7,1,3,8,11,3,4,0,2,2,26,24.1,15
198,23,2010-06-17,FIN,LAL,,BOS,7,W (+4),1,44:51:00,6,24,0.25,0,6,0,11,15,0.733,4,11,15,2,1,0,4,4,23,9.9,0
199,1,2011-04-17,WC1,LAL,,NOH,1,L (-9),1,42:05:00,13,26,0.5,1,2,0.5,7,8,0.875,1,3,4,5,0,1,5,2,34,20.6,2
200,2,2011-04-20,WC1,LAL,,NOH,2,W (+9),1,34:46:00,3,10,0.3,0,2,0,5,8,0.625,2,1,3,2,1,0,2,4,11,4.5,1
201,3,2011-04-22,WC1,LAL,@,NOH,3,W (+14),1,34:13:00,10,20,0.5,4,7,0.571,6,7,0.857,0,6,6,2,3,1,4,2,30,21.7,15
202,4,2011-04-24,WC1,LAL,@,NOH,4,L (-5),1,36:05:00,5,18,0.278,0,3,0,7,9,0.778,1,5,6,8,1,0,2,4,17,10.8,-1
203,5,2011-04-26,WC1,LAL,,NOH,5,W (+16),1,28:38:00,8,13,0.615,0,1,0,3,4,0.75,1,1,2,4,1,0,3,3,19,13.3,9
204,6,2011-04-28,WC1,LAL,@,NOH,6,W (+18),1,30:17:00,6,16,0.375,2,4,0.5,10,10,1,1,0,1,2,3,0,4,1,24,15.9,15
205,7,2011-05-02,WCS,LAL,,DAL,1,L (-2),1,35:08:00,14,29,0.483,4,9,0.444,4,5,0.8,0,5,5,0,1,1,3,2,36,20.3,6
206,8,2011-05-04,WCS,LAL,,DAL,2,L (-12),1,38:01:00,9,20,0.45,1,5,0.2,4,5,0.8,0,0,0,3,5,0,1,1,23,17.9,-8
207,9,2011-05-06,WCS,LAL,@,DAL,3,L (-6),1,37:58:00,8,16,0.5,0,3,0,1,1,1,1,3,4,6,1,0,2,3,17,12.6,-6
208,10,2011-05-08,WCS,LAL,@,DAL,4,L (-36),1,37:10:00,7,18,0.389,0,5,0,3,4,0.75,1,2,3,1,0,0,5,1,17,3.4,-29
209,1,2012-04-29,WC1,LAL,,DEN,1,W (+15),1,37:14:00,11,24,0.458,0,2,0,9,11,0.818,1,4,5,4,1,0,2,4,31,19.9,26
210,2,2012-05-01,WC1,LAL,,DEN,2,W (+4),1,39:37:00,15,29,0.517,2,6,0.333,6,7,0.857,2,2,4,2,3,1,1,3,38,28.2,4
211,3,2012-05-04,WC1,LAL,@,DEN,3,L (-15),1,41:06:00,7,23,0.304,3,10,0.3,5,6,0.833,3,3,6,6,0,0,6,4,22,7.9,-12
212,4,2012-05-06,WC1,LAL,@,DEN,4,W (+4),1,38:41:00,10,25,0.4,2,7,0.286,0,1,0,2,6,8,6,1,0,5,0,22,11.5,0
213,5,2012-05-08,WC1,LAL,,DEN,5,L (-3),1,43:12:00,14,32,0.438,5,11,0.455,10,11,0.909,1,5,6,5,2,0,3,2,43,29.7,-6
214,6,2012-05-10,WC1,LAL,@,DEN,6,L (-17),1,37:03:00,13,23,0.565,1,4,0.25,4,4,1,0,2,2,4,1,0,3,3,31,20.3,-28
215,7,2012-05-12,WC1,LAL,,DEN,7,W (+9),1,45:08:00,7,16,0.438,2,2,1,1,4,0.25,1,0,1,8,0,1,3,2,17,10.6,9
216,8,2012-05-14,WCS,LAL,@,OKC,1,L (-29),1,31:55:00,7,18,0.389,1,3,0.333,5,7,0.714,0,3,3,2,0,0,3,3,20,7.5,-27
217,9,2012-05-16,WCS,LAL,@,OKC,2,L (-2),1,42:46:00,9,25,0.36,0,6,0,2,2,1,1,2,3,4,4,0,2,4,20,10.6,5
218,10,2012-05-18,WCS,LAL,,OKC,3,W (+3),1,38:58:00,9,25,0.36,0,1,0,18,18,1,2,5,7,6,2,0,2,4,36,27.6,11
219,11,2012-05-19,WCS,LAL,,OKC,4,L (-3),1,39:46:00,12,28,0.429,0,2,0,14,17,0.824,3,5,8,5,0,0,2,1,38,26.7,-9
220,12,2012-05-21,WCS,LAL,@,OKC,5,L (-16),1,40:34:00,18,33,0.545,1,6,0.167,5,7,0.714,0,5,5,0,2,0,2,3,42,25.6,-14
221,,2013-04-21,,LAL,@,SAS,L (-12),Inactive,,,,,,,,,,,,,,,,,,,,,,
222,,2013-04-24,,LAL,@,SAS,L (-11),Inactive,,,,,,,,,,,,,,,,,,,,,,
223,,2013-04-26,,LAL,,SAS,L (-31),Inactive,,,,,,,,,,,,,,,,,,,,,,
224,,2013-04-28,,LAL,,SAS,L (-21),Inactive,,,,,,,,,,,,,,,,,,,,,,
